Filename,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,NPofB10,NPofB15,NPofB20,NPofB25,NPofB30,NPofB35,NPofB40,NPofB45,NPofB50,NPofB55,NPofB60,NPofB65,NPofB70,NPofB75,NPofB80,NPofB85,NPofB90,NPofB95,NPofB100,NAverage_Pofb
Keymind-A_5_1_bayesNet.csv,0.15625,0.15625,0.21875,0.25,0.28125,0.34375,0.4375,0.53125,0.625,0.6875,0.75,0.78125,0.8125,0.875,0.9375,0.9375,0.96875,0.96875,1,0.616776316,0.206896552,0.344827586,0.379310345,0.448275862,0.482758621,0.517241379,0.551724138,0.551724138,0.655172414,0.724137931,0.75862069,0.793103448,0.827586207,0.862068966,0.931034483,1,1,1,1,0.686025408
Keymind-A_5_1_begging.csv,0.1875,0.21875,0.25,0.28125,0.34375,0.4375,0.5625,0.5625,0.5625,0.6875,0.71875,0.75,0.8125,0.84375,0.875,0.9375,1,1,1,0.633223684,0.24137931,0.344827586,0.379310345,0.448275862,0.517241379,0.517241379,0.586206897,0.586206897,0.655172414,0.724137931,0.724137931,0.75862069,0.827586207,0.862068966,0.896551724,0.931034483,0.965517241,1,1,0.682395644
Keymind-A_5_1_decisionTable.csv,0.25,0.3125,0.375,0.4375,0.5,0.5,0.53125,0.59375,0.59375,0.71875,0.75,0.75,0.8125,0.8125,0.875,0.90625,0.96875,0.96875,1,0.666118421,0.24137931,0.275862069,0.379310345,0.448275862,0.482758621,0.517241379,0.551724138,0.586206897,0.620689655,0.689655172,0.724137931,0.724137931,0.793103448,0.793103448,0.862068966,0.896551724,0.965517241,0.965517241,1,0.658802178
Keymind-A_5_1_ibk.csv,0.1875,0.3125,0.4375,0.46875,0.46875,0.5,0.53125,0.5625,0.59375,0.6875,0.6875,0.71875,0.75,0.84375,0.9375,1,1,1,1,0.667763158,0.103448276,0.24137931,0.379310345,0.413793103,0.413793103,0.448275862,0.482758621,0.517241379,0.551724138,0.655172414,0.655172414,0.689655172,0.724137931,0.827586207,0.931034483,1,1,1,1,0.633393829
Keymind-A_5_1_j48.csv,0.09375,0.125,0.15625,0.375,0.46875,0.625,0.625,0.6875,0.6875,0.71875,0.75,0.78125,0.8125,0.875,0.96875,0.96875,1,1,1,0.669407895,0.137931034,0.310344828,0.448275862,0.448275862,0.482758621,0.586206897,0.586206897,0.655172414,0.655172414,0.689655172,0.724137931,0.75862069,0.793103448,0.862068966,0.965517241,0.965517241,1,1,1,0.68784029
Keymind-A_5_1_kStar.csv,0.15625,0.25,0.28125,0.3125,0.34375,0.4375,0.5,0.5625,0.625,0.6875,0.71875,0.75,0.78125,0.84375,0.84375,0.875,1,1,1,0.629934211,0.24137931,0.344827586,0.379310345,0.482758621,0.482758621,0.517241379,0.517241379,0.620689655,0.620689655,0.724137931,0.75862069,0.793103448,0.827586207,0.896551724,0.931034483,0.965517241,1,1,1,0.689655172
Keymind-A_5_1_logistic.csv,0.09375,0.125,0.1875,0.28125,0.3125,0.375,0.40625,0.40625,0.53125,0.59375,0.6875,0.71875,0.75,0.75,0.8125,0.90625,0.90625,0.96875,1,0.569078947,0.206896552,0.275862069,0.379310345,0.448275862,0.517241379,0.586206897,0.620689655,0.689655172,0.724137931,0.75862069,0.793103448,0.827586207,0.896551724,0.896551724,0.965517241,0.965517241,1,1,1,0.713248639
Keymind-A_5_1_naiveBayes.csv,0.125,0.15625,0.21875,0.25,0.34375,0.40625,0.5,0.53125,0.59375,0.625,0.625,0.65625,0.71875,0.71875,0.78125,0.84375,0.875,1,1,0.577302632,0.206896552,0.310344828,0.344827586,0.448275862,0.482758621,0.586206897,0.620689655,0.689655172,0.724137931,0.793103448,0.827586207,0.827586207,0.862068966,0.896551724,0.896551724,0.896551724,0.931034483,1,1,0.702359347
Keymind-A_5_1_randomForest.csv,0.125,0.1875,0.25,0.3125,0.34375,0.46875,0.53125,0.5625,0.625,0.65625,0.71875,0.78125,0.8125,0.84375,0.90625,0.96875,0.96875,1,1,0.634868421,0.275862069,0.344827586,0.413793103,0.448275862,0.551724138,0.620689655,0.620689655,0.655172414,0.724137931,0.75862069,0.827586207,0.827586207,0.862068966,0.931034483,0.931034483,0.931034483,1,1,1,0.722323049
Keymind-A_5_1_smo.csv,0.1875,0.25,0.40625,0.4375,0.46875,0.46875,0.53125,0.53125,0.5625,0.59375,0.65625,0.6875,0.6875,0.71875,0.71875,0.75,0.84375,0.90625,1,0.600328947,0.103448276,0.172413793,0.344827586,0.379310345,0.413793103,0.413793103,0.482758621,0.482758621,0.517241379,0.551724138,0.620689655,0.655172414,0.655172414,0.689655172,0.689655172,0.724137931,0.827586207,0.896551724,1,0.558983666
Keymind-A_5_2_bayesNet.csv,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.583333333,0.583333333,0.583333333,0.583333333,0.666666667,0.666666667,0.833333333,0.916666667,0.916666667,1,1,1,0.666666667,0.272727273,0.272727273,0.363636364,0.363636364,0.636363636,0.727272727,0.818181818,0.818181818,0.818181818,0.818181818,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,1,1,1,0.755980861
Keymind-A_5_2_begging.csv,0.083333333,0.166666667,0.166666667,0.166666667,0.25,0.333333333,0.5,0.5,0.5,0.583333333,0.583333333,0.666666667,0.75,0.833333333,0.833333333,0.916666667,1,1,1,0.570175439,0.090909091,0.272727273,0.363636364,0.363636364,0.454545455,0.545454545,0.545454545,0.545454545,0.636363636,0.727272727,0.727272727,0.818181818,0.818181818,0.909090909,1,1,1,1,1,0.674641148
Keymind-A_5_2_decisionTable.csv,0.333333333,0.416666667,0.5,0.583333333,0.583333333,0.583333333,0.75,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.916666667,1,1,1,0.754385965,0.272727273,0.363636364,0.363636364,0.363636364,0.636363636,0.727272727,0.727272727,0.818181818,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,1,1,1,0.765550239
Keymind-A_5_2_ibk.csv,0.181818182,0.363636364,0.363636364,0.363636364,0.363636364,0.363636364,0.363636364,0.454545455,0.454545455,0.545454545,0.636363636,0.818181818,0.909090909,1,1,1,1,1,1,0.641148325,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.9,1,1,1,1,1,1,0.605263158
Keymind-A_5_2_j48.csv,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.363636364,0.363636364,0.454545455,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.727272727,0.818181818,0.818181818,0.818181818,0.909090909,1,0.531100478,0.090909091,0.181818182,0.363636364,0.363636364,0.363636364,0.363636364,0.454545455,0.545454545,0.545454545,0.545454545,0.545454545,0.545454545,0.545454545,0.636363636,0.818181818,0.909090909,0.909090909,1,1,0.564593301
